pkg_name,inactivity_score,maintainers_score
domelementtype,0.7033052104425154,0.13926986569515337
pause-stream,0.702662407891049,0.19111821179451566
after,0.7019052473915517,0.13101837524914509
minimalistic-assert,0.7017384691795553,0.10699187967715613
xdg-basedir,0.7017296830238074,0.1288888502179551
miller-rabin,0.7016498173035179,0.11882111189213113
read-all-stream,0.7014664828236871,0.10509556759051975
glob-watcher,0.7009031121798772,0.15052203009052365
os-browserify,0.7006704981174129,0.08664446191283413
jsonparse,0.7006466840802865,0.3225558206040624
void-elements,0.7005699921548962,0.2366821383072225
end-of-stream,0.7004834475557493,0.12013153576633066
parse-filepath,0.7001191427958684,0.12803417976200762
component-emitter,0.700103261784827,0.15314878210893648
crypto,0.7000913580244746,1.0
fined,0.6999568934428854,0.12114336134230247
indent-string,0.6990441806963426,0.0970097380521816
validate-npm-package-license,0.6985411613949187,0.07203269244621151
window-size,0.6985372273208956,0.08591347845518839
camelcase,0.6983309817955184,0.1254725404217302
is-extendable,0.6979067742232813,0.06932119297469234
safe-buffer,0.6977771707077515,0.1683338655920357
is-dotfile,0.6973369250191771,0.06380491856599169
meow,0.6971046734951608,0.3942828407104307
detect-file,0.696878088184328,0.11197496525426018
delegates,0.6967816249302864,0.23026041223156402
css-rule-stream,0.6964435515311085,0.5164992590961099
code-point-at,0.6962889693249468,0.06443789193684742
shebang-regex,0.6962001377707088,0.11860867576440624
fastparse,0.6961589489511681,0.14369137864301293
ctype,0.696019770299581,0.18007975918521893
pinkie,0.6960130434126722,0.13164468641756077
pkginfo,0.6952502216559189,0.1286519930768166
fancy-log,0.6950722502498295,0.12462115698781373
concat-stream,0.6944305975394957,0.13797371986249166
colour,0.6940386248657383,1.0
graceful-fs,0.693907409460296,0.16130011059990695
delayed-stream,0.6937462885972753,0.06350732976184674
glob-stream,0.6932305017724506,0.19496918757256687
strip-bom-stream,0.6931140056406754,0.1250538725441558
is-primitive,0.6926069587719363,0.08030683609723271
write,0.6924962711021654,0.10960963036312123
fs-exists-sync,0.6924686793746306,0.09105272360445364
css-tokenize,0.6924535045824958,0.5164992590961099
align-text,0.6923970368762552,0.08233216543462711
unzip-response,0.6919381805474345,0.11860867576440622
buffer-crc32,0.6918124880501973,0.18727068514296927
jsbn,0.6913137103889652,0.08803339904653314
cson-parser,0.6912353845970537,1.0
xtend,0.6910550053262109,0.08927032329164024
isexe,0.6900955717653998,0.0678317300832895
reduce-css-calc,0.689511566113952,0.1180353218359575
extsprintf,0.6893053801652674,0.08644391667424074
signal-exit,0.6889726697767216,0.09819418926644852
util-deprecate,0.6887367826779474,0.056503946174821136
findup,0.6887099795522139,0.6126208788606072
map-limit,0.6879141750815956,1.0
request,0.6876117029539817,0.885463807171392
har-validator,0.6875100892628371,0.06577734292938985
prepend-http,0.6866442130924244,0.08520944079584432
mkdirp,0.6865036403318928,0.08443234356232998
crc,0.6861603998416219,0.2084332809854995
growl,0.6861057054494668,0.16145272826877952
spdx-correct,0.686000726269839,0.11791136934889464
tildify,0.6854875374089356,0.11807063158708708
foreach,0.6852305524896298,0.10681885516143895
type-check,0.6852024292275322,0.1382854221308728
rgb,0.6851850108729463,0.613565140796514
sass-graph,0.6848761931410698,0.12124724939618901
regex-cache,0.6847841574594423,0.07065506049743793
array-to-error,0.6847414399304861,1.0
fill-range,0.6844963988153981,0.07749065385595154
requires-port,0.6844781878994903,0.09188477941282847
os-homedir,0.6843966909234083,0.06271951943028115
levn,0.6843698182795181,0.1167039918879603
set-immediate-shim,0.684334238483154,0.06196596037343949
for-in,0.6841858804960216,0.05698575831673054
which-module,0.6841786873186315,0.0723543600496238
slash,0.6835086941143527,0.12100315465121751
extglob,0.6834622258946728,0.06378811970431655
once,0.6830406422416215,0.11834664136152862
clean-css-promise,0.682995639765978,1.0
uniqs,0.6826017780080281,0.08524806401506563
center-align,0.682314273089148,0.0566456592197878
invariant,0.6822487184552488,0.19706360675312976
ultron,0.6817313764914582,0.09188477941282847
blocking-proxy,0.6815420923307137,0.969803233561713
expand-brackets,0.6815332226945697,0.06118865003398974
path-is-absolute,0.6810033938383274,0.050202679960438715
browserify-zlib,0.6809034900568807,0.10753476698693398
optionator,0.6806842166280241,0.08886873615346828
resolve-from,0.6799613117017533,0.11931336009831651
ansi-escapes,0.6799319682583566,0.12482655722890629
anymatch,0.6795996254159539,0.1540614829264924
for-own,0.6793720376358342,0.04989809138243602
websocket-extensions,0.6788847464882038,0.0934421640911884
base64url,0.6788115522889266,0.16021580096213817
preserve,0.6787124376822067,0.04920824030484053
is-regex,0.6785751568359788,0.15058747417654897
is-my-json-valid,0.6776217819946079,0.16540453003476077
timed-out,0.6772555977590382,0.07493370730677539
glob-base,0.6772417222437728,0.04920824030484053
json-loader,0.6772235186195904,0.17657424483018427
string-length,0.6766684181213969,0.131567816282072
emitter-listener,0.6758003317320772,0.4623502940166169
isomorphic-fetch,0.6756259283645473,0.6919782488449534
defaults,0.6746510474144138,0.08636694594231442
is-extglob,0.6744221488222121,0.043259992655689056
right-align,0.6743820900244177,0.04920824030484053
slide,0.6738214526425998,0.13024715897745662
timers-browserify,0.6737929757987241,0.10681882980814028
concat-map,0.6737268216483981,0.03462269650127073
