pkg_name,avg_issue_till_closed,avg_pr_till_closed,avg_issue_open_time,avg_pr_open_time
expand-brackets,6303.06,167.95,,44952.38
inquirer,2182.40,25.93,28959.21,4644.26
extglob,2208.87,279.93,63277.85,43973.98
fill-range,319.32,269.85,34813.36,23764.77
hosted-git-info,3040.90,104.41,38403.93,
regex-cache,150.87,3534.99,94756.18,
is-primitive,173.52,757.09,50420.89,51976.35
path-type,12940.87,24.72,6824.23,
read-pkg-up,284.72,64.36,,
entities,1507.28,2.80,2246.93,404.29
safe-buffer,122.64,138.99,38925.37,21075.52
parse-glob,,1.51,82571.00,49376.99
globals,284.13,19.65,10467.09,9127.26
spdx-expression-parse,6.10,157.73,67373.75,62763.14
repeat-element,6.56,159.25,,
preserve,,10659.05,,
is-equal-shallow,,2.81,66435.58,66196.32
glob-base,,14656.79,57165.94,
arrify,33.01,20.05,,
is-posix-bracket,,6.37,,
has-flag,0.36,4.89,,
builtin-modules,5.93,8.92,,
spdx-license-ids,20.26,137.04,,
normalize-package-data,3128.47,113.52,98463.37,
error-ex,7.78,122.25,88320.87,46753.76
typedarray,,,,
domutils,1113.22,3.46,,645.96
yargs-parser,1897.52,250.72,46670.59,2924.94
validate-npm-package-license,1712.92,3054.76,,
is-builtin-module,4430.25,5.34,,
spdx-correct,6.04,64.75,43511.05,43510.79
ipaddr.js,180.44,14.91,28602.04,9704.79
moment,455.38,687.13,31313.62,18592.25
is-arrayish,38.77,12.10,,
babylon,895.83,75.14,70841.61,70839.44
parse-json,148.26,11.82,34358.28,15171.83
longest,8183.88,2047.45,70036.00,67169.15
regenerator-runtime,294.63,299.15,64546.95,47848.04
merge-descriptors,808.38,1220.45,,
proxy-addr,2419.54,121.39,40867.74,2572.32
array-uniq,28.89,18.83,,
globby,4470.59,67.41,,
duplexer2,4120.50,3948.91,71760.66,63310.35
content-disposition,11.37,709.17,49213.15,4260.59
chokidar,1562.66,30.04,7409.98,7146.00
align-text,1907.75,237.97,70675.90,49697.03
right-align,,,,66437.51
center-align,45905.88,3521.71,,
base64-js,1596.58,5862.71,47641.32,
es6-symbol,61.64,25.85,65401.17,
node-uuid,,1.34,,
json5,1183.81,635.29,45918.30,23385.17
uglify-to-browserify,1983.14,1209.09,55574.23,
lodash.isarray,2.81,27.85,10887.72,7944.25
jodid25519,45.55,4.47,49246.66,
indent-string,7.98,5.02,,
lodash.assign,2.81,27.85,10887.76,7944.30
dateformat,12164.94,236.93,50716.34,39348.95
es6-iterator,1311.05,6.17,,
array-flatten,5531.01,1642.99,,3851.79
findup-sync,574.40,614.05,58600.38,
es6-promise,1097.87,94.44,62328.42,72337.25
lodash.isarguments,2.81,27.85,10887.81,7944.35
figures,61.61,6.65,,
npmlog,16411.77,254.10,38350.16,
osenv,10721.19,319.45,74844.45,63544.77
raw-body,175.40,134.61,142.24,389.98
onetime,1339.86,8.83,51748.37,
encodeurl,737.33,351.25,,2851.11
binary-extensions,8548.84,27.07,,
jsonfile,40.27,59.19,83008.65,11836.51
json3,264.87,168.02,90792.21,94114.10
cross-spawn,438.54,434.49,29070.14,11014.94
body-parser,11.45,189.08,37092.05,6527.23
ws,69.73,45.80,71803.30,
readdirp,526.07,18.19,56281.89,
lodash._getnative,2.81,27.85,10887.88,7944.42
xmlbuilder,354.44,79.16,37301.20,25719.24
doctrine,2422.29,70.94,,
