pkg_name,maintainer_count,gh_days_since_commit,gh_open_prs,gh_open_issues,gh_stars,gh_repo_url
glob-parent,4,288,4,3,80,https://github.com/gulpjs/glob-parent
getpass,6,2936,0,3,17,https://github.com/arekinath/node-getpass
expand-range,2,2356,0,0,25,https://github.com/jonschlinkert/expand-range
sax,1,347,27,73,1111,https://github.com/isaacs/sax-js
ee-first,2,2204,0,1,53,https://github.com/jonathanong/ee-first
fresh,3,53,2,1,159,https://github.com/jshttp/fresh
is-typedarray,1,472,4,3,21,https://github.com/hughsk/is-typedarray
amdefine,1,2425,2,5,211,https://github.com/jrburke/amdefine
bcrypt-pbkdf,9,2029,0,3,7,https://github.com/joyent/node-bcrypt-pbkdf
decamelize,1,923,0,2,239,https://github.com/sindresorhus/decamelize
methods,5,361,3,0,179,https://github.com/jshttp/methods
ecc-jsbn,3,2454,0,1,17,https://github.com/quartzjer/ecc-jsbn
type-is,5,44,2,6,228,https://github.com/jshttp/type-is
on-finished,1,0,7,5,397,https://github.com/jshttp/on-finished
serve-static,3,1,10,10,1414,https://github.com/expressjs/serve-static
range-parser,5,361,0,1,93,https://github.com/jshttp/range-parser
user-home,1,1492,0,0,160,https://github.com/sindresorhus/user-home
abbrev,7,8,0,0,166,https://github.com/npm/abbrev-js
through,1,2479,3,11,669,https://github.com/dominictarr/through
end-of-stream,1,1614,3,4,149,https://github.com/mafintosh/end-of-stream
os-homedir,1,1567,0,0,61,https://github.com/sindresorhus/os-homedir
for-own,3,2994,0,0,23,https://github.com/jonschlinkert/for-own
jsesc,1,150,4,18,786,https://github.com/mathiasbynens/jsesc
is-my-json-valid,7,998,15,40,967,https://github.com/mafintosh/is-my-json-valid
for-in,2,2993,0,0,35,https://github.com/jonschlinkert/for-in
esutils,2,1129,7,3,121,https://github.com/estools/esutils
shelljs,3,0,10,88,14334,https://github.com/shelljs/shelljs
jsonpointer,2,884,3,2,196,https://github.com/janl/node-jsonpointer
nan,2,1,18,55,3313,https://github.com/nodejs/nan
os-tmpdir,1,1567,0,0,35,https://github.com/sindresorhus/os-tmpdir
json-stable-stringify,1,18,3,3,63,https://github.com/ljharb/json-stable-stringify
component-emitter,1,505,0,0,600,https://github.com/sindresorhus/component-emitter
sprintf-js,1,400,21,46,2125,https://github.com/alexei/sprintf.js
find-up,1,50,1,3,605,https://github.com/sindresorhus/find-up
asynckit,1,2463,0,0,24,https://github.com/alexindigo/asynckit
js-tokens,1,36,0,0,518,https://github.com/lydell/js-tokens
parseurl,2,361,0,1,186,https://github.com/pillarjs/parseurl
is-finite,1,1494,0,0,19,https://github.com/sindresorhus/is-finite
bl,2,25,4,10,433,https://github.com/rvagg/bl
isexe,1,265,6,11,48,https://github.com/isaacs/isexe
setprototypeof,1,1050,1,0,53,https://github.com/wesleytodd/setprototypeof
pify,1,971,0,0,1504,https://github.com/sindresorhus/pify
code-point-at,1,1568,0,0,22,https://github.com/sindresorhus/code-point-at
ajv,2,145,43,57,14186,https://github.com/ajv-validator/ajv
co,3,1607,14,29,11882,https://github.com/tj/co
vary,2,361,0,0,61,https://github.com/jshttp/vary
normalize-path,3,946,2,0,110,https://github.com/jonschlinkert/normalize-path
mute-stream,7,11,0,0,53,https://github.com/npm/mute-stream
jsonify,1,674,0,2,3,https://github.com/ljharb/jsonify
path-to-regexp,6,10,4,4,8383,https://github.com/pillarjs/path-to-regexp
convert-source-map,2,44,2,4,172,https://github.com/thlorenz/convert-source-map
media-typer,2,376,2,0,56,https://github.com/jshttp/media-typer
get-stdin,1,573,0,2,338,https://github.com/sindresorhus/get-stdin
interpret,3,267,4,4,260,https://github.com/gulpjs/interpret
generate-function,1,330,1,1,78,https://github.com/mafintosh/generate-function
source-map-support,3,280,45,55,2182,https://github.com/evanw/node-source-map-support
utils-merge,1,890,2,5,70,https://github.com/jaredhanson/utils-merge
generate-object-property,1,249,0,0,25,https://github.com/mafintosh/generate-object-property
unpipe,1,1607,0,0,23,https://github.com/stream-utils/unpipe
is-property,1,3285,1,1,13,https://github.com/mikolalysenko/is-property
arr-flatten,1,1227,4,3,59,https://github.com/jonschlinkert/arr-flatten
lodash.keys,2,148,28,72,60446,https://github.com/lodash/lodash
randomatic,2,652,1,6,183,https://github.com/jonschlinkert/randomatic
buffer-shims,1,3118,0,2,12,https://github.com/calvinmetcalf/buffer-shims
destroy,2,248,1,0,56,https://github.com/stream-utils/destroy
lazy-cache,2,786,2,0,51,https://github.com/jonschlinkert/lazy-cache
object.omit,2,1604,2,1,78,https://github.com/jonschlinkert/object.omit
filename-regex,2,2869,1,2,33,https://github.com/regexhq/filename-regex
babel-runtime,3,0,100,0,43575,https://github.com/babel/babel
micromatch,3,256,6,29,2908,https://github.com/micromatch/micromatch
is-dotfile,2,2902,0,0,14,https://github.com/jonschlinkert/is-dotfile
arr-diff,3,1222,3,2,46,https://github.com/jonschlinkert/arr-diff
content-type,2,297,1,2,136,https://github.com/jshttp/content-type
is-utf8,1,550,0,2,104,https://github.com/wayfind/is-utf8
load-json-file,1,724,0,0,246,https://github.com/sindresorhus/load-json-file
diff,2,12,2,13,8539,https://github.com/kpdecker/jsdiff
ini,7,31,1,12,787,https://github.com/npm/ini
array-unique,2,1650,3,2,59,https://github.com/jonschlinkert/array-unique
signal-exit,2,570,2,4,191,https://github.com/tapjs/signal-exit
is-extendable,2,1358,1,0,19,https://github.com/jonschlinkert/is-extendable
cookie-signature,3,10,0,2,189,https://github.com/visionmedia/node-cookie-signature
read-pkg,1,541,0,0,165,https://github.com/sindresorhus/read-pkg
expand-brackets,4,1314,2,0,27,https://github.com/micromatch/expand-brackets
inquirer,4,0,6,39,20803,https://github.com/SBoudrias/Inquirer.js
extglob,2,1627,1,2,32,https://github.com/micromatch/extglob
fill-range,4,288,4,2,60,https://github.com/jonschlinkert/fill-range
hosted-git-info,7,25,0,3,223,https://github.com/npm/hosted-git-info
regex-cache,2,2808,0,1,39,https://github.com/jonschlinkert/regex-cache
is-primitive,2,1512,2,1,37,https://github.com/jonschlinkert/is-primitive
path-type,1,288,0,1,78,https://github.com/sindresorhus/path-type
read-pkg-up,1,553,0,0,267,https://github.com/sindresorhus/read-pkg-up
entities,1,0,4,2,338,https://github.com/fb55/entities
safe-buffer,2,707,2,4,347,https://github.com/feross/safe-buffer
parse-glob,1,1852,1,2,25,https://github.com/jonschlinkert/parse-glob
globals,4,3,3,5,472,https://github.com/sindresorhus/globals
spdx-expression-parse,2,535,4,4,44,https://github.com/jslicense/spdx-expression-parse.js
repeat-element,1,1493,0,0,19,https://github.com/jonschlinkert/repeat-element
preserve,1,3149,0,0,14,https://github.com/jonschlinkert/preserve
is-equal-shallow,2,2553,1,1,29,https://github.com/jonschlinkert/is-equal-shallow
glob-base,3,2950,0,4,17,https://github.com/jonschlinkert/glob-base
arrify,1,1277,0,1,129,https://github.com/sindresorhus/arrify
is-posix-bracket,1,3322,0,0,13,https://github.com/jonschlinkert/is-posix-bracket
has-flag,1,1391,0,0,95,https://github.com/sindresorhus/has-flag
builtin-modules,1,72,0,0,122,https://github.com/sindresorhus/builtin-modules
spdx-license-ids,2,115,0,0,35,https://github.com/jslicense/spdx-license-ids
normalize-package-data,7,31,0,19,200,https://github.com/npm/normalize-package-data
error-ex,2,1739,1,1,65,https://github.com/qix-/node-error-ex
typedarray,1,550,0,0,2,https://github.com/es-shims/typedarray
domutils,1,1,3,0,211,https://github.com/fb55/domutils
yargs-parser,3,115,16,47,509,https://github.com/yargs/yargs-parser
validate-npm-package-license,1,1487,0,0,27,https://github.com/kemitchell/validate-npm-package-license.js
is-builtin-module,1,72,0,0,59,https://github.com/sindresorhus/is-builtin-module
spdx-correct,2,389,1,1,34,https://github.com/jslicense/spdx-correct.js
ipaddr.js,1,96,1,6,592,https://github.com/whitequark/ipaddr.js
moment,5,269,44,56,48083,https://github.com/moment/moment
is-arrayish,1,1360,0,0,16,https://github.com/qix-/node-is-arrayish
babylon,5,2548,1,1,1713,https://github.com/babel/babylon
parse-json,1,31,1,1,364,https://github.com/sindresorhus/parse-json
longest,3,2593,2,2,30,https://github.com/jonschlinkert/longest
regenerator-runtime,1,436,18,63,3838,https://github.com/facebook/regenerator
merge-descriptors,1,505,0,0,150,https://github.com/sindresorhus/merge-descriptors
proxy-addr,1,361,0,3,134,https://github.com/jshttp/proxy-addr
array-uniq,1,1468,0,0,71,https://github.com/sindresorhus/array-uniq
globby,1,91,1,37,2578,https://github.com/sindresorhus/globby
duplexer2,3,1841,1,5,72,https://github.com/deoxxa/duplexer2
content-disposition,3,8,8,5,232,https://github.com/jshttp/content-disposition
chokidar,1,9,4,24,11382,https://github.com/paulmillr/chokidar
align-text,3,1865,1,1,52,https://github.com/jonschlinkert/align-text
right-align,2,2563,1,0,19,https://github.com/jonschlinkert/right-align
center-align,2,2906,0,0,23,https://github.com/jonschlinkert/center-align
base64-js,2,289,0,5,878,https://github.com/beatgammit/base64-js
es6-symbol,1,435,0,2,180,https://github.com/medikoo/es6-symbol
node-uuid,2,1941,0,0,267,https://github.com/broofa/node-uuid
json5,2,197,7,27,6849,https://github.com/json5/json5
uglify-to-browserify,1,1908,0,2,21,https://github.com/ForbesLindesay/uglify-to-browserify
lodash.isarray,2,148,28,72,60446,https://github.com/lodash/lodash
jodid25519,1,3390,0,1,34,https://github.com/meganz/jodid25519
indent-string,1,1070,0,0,113,https://github.com/sindresorhus/indent-string
